Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,meta:minimum_allowed_quantity,meta:maximum_allowed_quantity
simple,KP-UHLIE-SOLO,Kováčske uhlie 25 kg,-1,0,visible,Jedno 25 kg vrece s doručením. Cena už zahŕňa balné aj kuriéra.,"<p>Klasické čierne uhlie do vyhne. Silný žiar, o čosi viac dymu ako koks — obľúbené u hobby kováčov a nožiarov.</p><p>Jedno 25 kg vrece s doručením. Cena už zahŕňa balné aj kuriéra.</p><p>28,90 € za vrece už obsahuje balné aj kuriéra SDS. Dobierka 2,90 € je príplatok platby, nie súčasť tejto ceny.</p><p>Kuriér unesie najviac 3 vrecia kováčskeho uhlia. Viac = paletová zostava od 100 kg.</p><p>Použitie: Vyhňa, nožiarstvo, ukážkové kúrenie.</p><p>Dohodnutá vzorová cena s DPH — pred ostrým spustením ju ešte môžete upraviť.</p>",,,taxable,,1,,,0,0,25,,,,1,"Doručenie kuriérom SDS je v cene vreca. Dobierka 2,90 € sa účtuje pri platbe, nie v cene tovaru.",,28.90,Vzorky a hobby (kuriér),"kováčstvo, vyhňa, uhlie",Kuriér SDS,,,,,,KP-UHLIE-PALETA,KP-UHLIE-PALETA,,,1,,,,,,1,3
simple,KP-ANTRACIT-SOLO,Kováčsky antracit 25 kg,-1,0,visible,Jedno 25 kg vrece s doručením. Vhodné ako vzorka alebo pre hobby vyhňu.,"<p>Tvrdý antracit s dlhým horením a nízkym dymom. Na dlhšiu prácu vo vyhni, keď treba stály žiar.</p><p>Jedno 25 kg vrece s doručením. Vhodné ako vzorka alebo pre hobby vyhňu.</p><p>34,90 € za vrece už obsahuje balné aj kuriéra SDS. Dobierka 2,90 € je príplatok platby, nie súčasť tejto ceny.</p><p>Kuriér unesie najviac 3 vrecia kováčskeho antracitu. Viac = paletová zostava od 100 kg.</p><p>Použitie: Dlhá práca vo vyhni, čistejšie horenie.</p><p>Dohodnutá vzorová cena s DPH — pred ostrým spustením ju ešte môžete upraviť.</p>",,,taxable,,1,,,0,0,25,,,,1,"Doručenie kuriérom SDS je v cene vreca. Dobierka 2,90 € sa účtuje pri platbe, nie v cene tovaru.",,34.90,Vzorky a hobby (kuriér),"kováčstvo, vyhňa, antracit",Kuriér SDS,,,,,,KP-ANTRACIT-PALETA,KP-ANTRACIT-PALETA,,,2,,,,,,1,3
simple,KP-KOKS-SOLO,Kováčsky koks 20 kg,-1,0,visible,Jedno 20 kg vrece s doručením. Kuriér unesie najviac štyri vrecia koksu.,"<p>Koks do vyhne: vysoká teplota, málo dymu. Vrecia po 20 kg — na paletu 110 × 120 cm ide 50 vriec, teda jedna tona.</p><p>Jedno 20 kg vrece s doručením. Kuriér unesie najviac štyri vrecia koksu.</p><p>32,90 € za vrece už obsahuje balné aj kuriéra SDS. Dobierka 2,90 € je príplatok platby, nie súčasť tejto ceny.</p><p>Kuriér unesie najviac 4 vrecia kováčskeho koksu. Viac = paletová zostava od 100 kg.</p><p>Použitie: Kovanie, nožiarstvo, vysoký žiar.</p><p>Dohodnutá vzorová cena s DPH — pred ostrým spustením ju ešte môžete upraviť.</p>",,,taxable,,1,,,0,0,20,,,,1,"Doručenie kuriérom SDS je v cene vreca. Dobierka 2,90 € sa účtuje pri platbe, nie v cene tovaru.",,32.90,Vzorky a hobby (kuriér),"kováčstvo, vyhňa, koks",Kuriér SDS,,,,,,KP-KOKS-PALETA,KP-KOKS-PALETA,,,3,,,,,,1,4
variable,KP-UHLIE-PALETA,Kováčske uhlie od 100 kg,-1,0,visible,"Najmenšia zostava 100 kg (4 vrecia). Čím viac kíl, tým nižšia cena za kilogram.","<p>Klasické čierne uhlie do vyhne. Silný žiar, o čosi viac dymu ako koks — obľúbené u hobby kováčov a nožiarov.</p><p>Najmenšia zostava 100 kg (4 vrecia). Čím viac kíl, tým nižšia cena za kilogram.</p><p>Cena je tovar + balné, s DPH. Paletová doprava (paleta 110 × 120 cm) sa počíta zvlášť. Dobierka 2,90 € nie je v cene.</p><p>Na paletu ide 40 vriec = 1 000 kg.</p><p>Zostavy (vzorové ceny):</p><ul><li>100 kg = 4 × 25 kg · 0,89 €/kg · tovar 89,00 €</li><li>250 kg = 10 × 25 kg · 0,82 €/kg · tovar 205,00 €</li><li>500 kg = 20 × 25 kg · 0,75 €/kg · tovar 375,00 €</li><li>1 000 kg = 40 × 25 kg · 0,68 €/kg · tovar 680,00 €</li></ul><p>Nekupujte desaťkrát 100 kg — to nie je tona. Vyberte zostavu 1 000 kg.</p><p>Použitie: Vyhňa, nožiarstvo, ukážkové kúrenie.</p><p>Dohodnuté vzorové ceny s DPH — pred ostrým spustením ich ešte môžete upraviť.</p>",,,taxable,,1,,,0,0,,,,,1,"Cena je tovar + balné. Paletová doprava sa počíta zvlášť. Dobierka 2,90 € nie je v cene.",,,Palivá od 100 kg (paleta),"kováčstvo, vyhňa, uhlie",Paleta,,,,,,KP-UHLIE-SOLO,KP-UHLIE-SOLO,,,4,Zostava,"100 kg, 250 kg, 500 kg, 1 000 kg",1,0,100 kg,,
variation,KP-UHLIE-100,Kováčske uhlie od 100 kg — 100 kg,-1,0,visible,,,,,taxable,,1,parent,,0,0,100,,,,0,,,89.00,,,Paleta,,,,KP-UHLIE-PALETA,,,,,,5,Zostava,100 kg,1,0,,,
variation,KP-UHLIE-250,Kováčske uhlie od 100 kg — 250 kg,-1,0,visible,,,,,taxable,,1,parent,,0,0,250,,,,0,,,205.00,,,Paleta,,,,KP-UHLIE-PALETA,,,,,,6,Zostava,250 kg,1,0,,,
variation,KP-UHLIE-500,Kováčske uhlie od 100 kg — 500 kg,-1,0,visible,,,,,taxable,,1,parent,,0,0,500,,,,0,,,375.00,,,Paleta,,,,KP-UHLIE-PALETA,,,,,,7,Zostava,500 kg,1,0,,,
variation,KP-UHLIE-1000,Kováčske uhlie od 100 kg — 1 000 kg,-1,0,visible,,,,,taxable,,1,parent,,0,0,1000,,,,0,,,680.00,,,Paleta,,,,KP-UHLIE-PALETA,,,,,,8,Zostava,1 000 kg,1,0,,,
variable,KP-ANTRACIT-PALETA,Kováčsky antracit od 100 kg,-1,0,visible,"Najmenšia zostava 100 kg (4 vrecia). Plná paleta je 40 vriec, teda 1 000 kg.","<p>Tvrdý antracit s dlhým horením a nízkym dymom. Na dlhšiu prácu vo vyhni, keď treba stály žiar.</p><p>Najmenšia zostava 100 kg (4 vrecia). Plná paleta je 40 vriec, teda 1 000 kg.</p><p>Cena je tovar + balné, s DPH. Paletová doprava (paleta 110 × 120 cm) sa počíta zvlášť. Dobierka 2,90 € nie je v cene.</p><p>Na paletu ide 40 vriec = 1 000 kg.</p><p>Zostavy (vzorové ceny):</p><ul><li>100 kg = 4 × 25 kg · 1,12 €/kg · tovar 112,00 €</li><li>250 kg = 10 × 25 kg · 1,04 €/kg · tovar 260,00 €</li><li>500 kg = 20 × 25 kg · 0,96 €/kg · tovar 480,00 €</li><li>1 000 kg = 40 × 25 kg · 0,88 €/kg · tovar 880,00 €</li></ul><p>Nekupujte desaťkrát 100 kg — to nie je tona. Vyberte zostavu 1 000 kg.</p><p>Použitie: Dlhá práca vo vyhni, čistejšie horenie.</p><p>Dohodnuté vzorové ceny s DPH — pred ostrým spustením ich ešte môžete upraviť.</p>",,,taxable,,1,,,0,0,,,,,1,"Cena je tovar + balné. Paletová doprava sa počíta zvlášť. Dobierka 2,90 € nie je v cene.",,,Palivá od 100 kg (paleta),"kováčstvo, vyhňa, antracit",Paleta,,,,,,KP-ANTRACIT-SOLO,KP-ANTRACIT-SOLO,,,9,Zostava,"100 kg, 250 kg, 500 kg, 1 000 kg",1,0,100 kg,,
variation,KP-ANTRACIT-100,Kováčsky antracit od 100 kg — 100 kg,-1,0,visible,,,,,taxable,,1,parent,,0,0,100,,,,0,,,112.00,,,Paleta,,,,KP-ANTRACIT-PALETA,,,,,,10,Zostava,100 kg,1,0,,,
